Código,Produto,Categoria,Valor
299,* Acúcar - Kg,DISPENSA,"R$4,00"
303,* Arroz,DISPENSA,"R$6,00"
311,* Café,DISPENSA,"R$15,99"
319,* F. Mandioca,DISPENSA,"R$4,70"
320,* F. Trigo c/ ferm,DISPENSA,"R$5,35"
321,* F. Trigo s/ ferm,DISPENSA,"R$5,00"
894,* Farinha de rosca 500g,DISPENSA,"R$6,00"
1062,* Farinha panko 500g,DISPENSA,"R$6,00"
323,* Feijão Carioca,DISPENSA,"R$9,00"
324,* Feijão Preto,DISPENSA,"R$10,00"
322,* Feijão de corda,DISPENSA,"R$8,00"
325,* Flocão,DISPENSA,"R$1,90"
334,* Macarrão - 500g,DISPENSA,"R$2,90"
346,* Sal - kg,DISPENSA,"R$1,00"
300,- Adoçante,DISPENSA,"R$4,00"
306,- Azeite - garrafa,DISPENSA,"R$21,00"
1040,- Azeitona balde,DISPENSA,"R$50,00"
117,- BATATA CHEDDAR,Alimentos,"R$19,00"
47,- COSTELA AO BARBECUE,Alimentos,"R$42,00"
35,- Calabresa Com Macaxeira,Alimentos,"R$28,00"
34,- Calabresa com fritas,Alimentos,"R$28,00"
38,- Carne de sol c/ fritas,Alimentos,"R$45,00"
39,- Carne de sol c/ macaxeira,Alimentos,"R$45,00"
312,- Catchup,DISPENSA,"R$6,00"
50,- Cupim a brejeira,Alimentos,"R$50,00"
318,- Extrato Tomate - 340g,DISPENSA,"R$3,00"
329,- M. Barbucue-500ml,DISPENSA,"R$7,00"
331,- M. Inglês - 1lt,DISPENSA,"R$10,00"
337,- M. Mostarda - 500ml,DISPENSA,"R$10,00"
333,- M. Shoyo - 1lt,DISPENSA,"R$6,50"
335,- Maionese - kg,DISPENSA,"R$12,00"
340,- Oleo - garrafa,DISPENSA,"R$11,00"
349,- Vinagre - 500ml,DISPENSA,"R$1,70"
610,- Vinho carreteiro 1lt,DISPENSA,"R$10,00"
1041,/Lac. Achocolatadinho,DISPENSA,"R$1,90"
369,/Lac. Achocolatado,DISPENSA,"R$4,90"
370,/Lac. Creme de Leite,DISPENSA,"R$2,00"
371,/Lac. Leite Condensado,DISPENSA,"R$5,80"
372,/Lac. Leite de Caixa,DISPENSA,"R$5,20"
327,/Lac. Leite em pó,DISPENSA,"R$6,40"
1067,2- AMSTEL PROMO,ZCOMBOS,"R$18,99"
997,2T óleo 20ml,MAQUINARIO,"R$1,60"
1066,3- AMSTEL PROMO,ZCOMBOS,"R$24,99"
1020,4T óleo 1L,MAQUINARIO,"R$40,00"
1049,AA Molheira,Utensilios Cozinha,"R$5,00"
926,AA Prato Almoço (12unid),Utensilios Cozinha,"R$120,00"
927,AA Prato Sobremesa (12unid),Utensilios Cozinha,"R$72,00"
618,AA Taça Paulista (24unid),Utensilios Cozinha,"R$120,00"
1048,AA Taça vinho,Utensilios Cozinha,"R$15,00"
783,ACHOCOLATADO,XCafé da Manhã,"R$0,00"
1074,ADEGA - Vinho Botticelli frisante branco 750ml,XJANTAR,"R$40,00"
147,ADEGA - Vinho Cosecha Cabernet,RECEPÇÃO,"R$50,00"
884,ADEGA - Vinho Cosecha Cabernet bar,XJANTAR,"R$50,00"
112,ADEGA - Vinho Cosecha Carmenere,RECEPÇÃO,"R$50,00"
889,ADEGA - Vinho Cosecha Carmenere bar,XJANTAR,"R$50,00"
146,ADEGA - Vinho Leon Tarapacá Cabernet,RECEPÇÃO,"R$70,00"
885,ADEGA - Vinho Leon Tarapacá Cabernet bar,XJANTAR,"R$70,00"
113,ADEGA - Vinho Leon Tarapacá Carmenere,RECEPÇÃO,"R$70,00"
888,ADEGA - Vinho Leon Tarapacá Carmenere bar,XJANTAR,"R$70,00"
145,ADEGA - Vinho Pérgola Branco,RECEPÇÃO,"R$40,00"
886,ADEGA - Vinho Pérgola Branco bar,XJANTAR,"R$40,00"
114,ADEGA - Vinho Pérgola Tinto,RECEPÇÃO,"R$40,00"
887,ADEGA - Vinho Pérgola Tinto,XJANTAR,"R$40,00"
