"id","descricao","valor_unitario","preco_custo","preco_venda","estoque_minimo","estoque_maximo","categoria_produto","codigo_barras_produto","codigo_interno","impressora","unidade","ativo","criado_por","complemento","produto_servico","created_at","updated_at"
"2","Refrigerante Coca-Cola 350ml BAR","3.50","2.00","5.00","5","50","10","7894900010015","001","1","FD","1","Admin",NULL,"produto","2024-10-11 02:50:29","2025-01-04 20:53:18"
"3","Pepsi 350ml","3.00","2.50","5.00","1","30","1","7894900010022","002",NULL,"KG","1","Admin",NULL,"produto","2024-10-11 02:50:29","2024-10-14 02:33:48"
"4","Água Mineral 500ml BAR","2.00","3.00","5.00","5","50","10","7894900010039","003","1","UN","1","Admin",NULL,"produto","2024-10-11 02:50:29","2025-01-04 20:51:22"
"6","Cerveja Heineken 350ml BAR","4.00","9.00","7.00","5","750","9","7894900010053","005","1","UN","1","Admin",NULL,"produto","2024-10-11 02:50:29","2025-01-04 20:43:38"
"32","Vassoura",NULL,"1.00","5.00","1","5","3",NULL,NULL,NULL,"UN","1","1",NULL,"produto","2024-10-14 02:34:28","2024-10-14 02:34:28"
"33","Batata Frita",NULL,"1.00","13.00","5","10","2",NULL,"33","0","UN","1","1",NULL,"produto","2024-10-16 02:28:24","2025-01-05 21:29:19"
"34","Saco de gelo",NULL,"12.00","12.00","0","500","6",NULL,"34","1","UN","1","1",NULL,"produto","2024-10-16 02:47:00","2025-01-05 22:06:27"
"35","Caipirinha",NULL,"1.00","7.00","1","10","7",NULL,"35",NULL,"TC","1","1",NULL,"produto","2024-10-16 03:02:20","2024-10-24 01:23:43"
"36","Limão",NULL,"1.00","1.00","5","50","2",NULL,NULL,NULL,"UN","1","1",NULL,"produto","2024-10-24 01:19:52","2024-10-24 01:52:13"
"37","Smirnoff",NULL,"3.00","12.00","2","10","1",NULL,NULL,NULL,"DS","1","1",NULL,"produto","2024-10-24 01:20:53","2024-10-24 01:58:46"
"38","GELADEIRA - ÁGUA MINERAL 500ml - RECEPÇÃO",NULL,"0.50","3.00","12","36","16",NULL,"010","2","UN","1","1",NULL,"produto","2024-12-12 19:13:09","2025-01-06 08:07:15"
"39","GELADEIRA - CERVEJA AMSTEL - RECEPÇÃO",NULL,"7.00","7.00","12","0","16",NULL,"11","2","UN","1","1",NULL,"produto","2024-12-12 19:18:45","2025-01-06 08:06:41"
"40","GELADEIRA - CERVEJA HEINEKEN - RECEPÇÃO",NULL,"5.00","9.00","12","0","16",NULL,"12","2","UN","1","1",NULL,"produto","2024-12-12 19:23:42","2025-01-06 08:06:19"
