Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
436,Canudo Drink Mexedor - 100,DESCARTAVEL,UN,20,1,0,4,"7,00","7,00",sem observacao,"0,00 %","28,00"
437,Canudo Suco Grosso - 100,DESCARTAVEL,UN,20,1,0,6,"7,00","7,00",sem observacao,"0,00 %","42,00"
731,Clipes (100),DESCARTAVEL,UN,20,2,0,35,"2,20","2,20",Saldo Excedendo o permitido!,"0,00 %","77,00"
438,Copo Acr drink unid,DESCARTAVEL,UN,30,10,0,70,"0,80","0,80",Saldo Excedendo o permitido!,"0,00 %","56,00"
1173,Copo Bio Nescafé unid,DESCARTAVEL,UN,400,50,0,250,"0,35","0,35",sem observacao,"0,00 %","87,50"
440,Copo Desc. 050ml,DESCARTAVEL,UN,25,1,0,38,"2,50","2,50",Saldo Excedendo o permitido!,"0,00 %","95,00"
441,Copo Desc. 080ml,DESCARTAVEL,UN,30,5,0,80,"2,50","2,50",Saldo Excedendo o permitido!,"0,00 %","200,00"
Totais:,,,,,,,1557,,"2.325,43",,,
1144,Copo Desc. 300ml,DESCARTAVEL,UN,20,1,0,2,"10,50","10,50",sem observacao,"0,00 %","21,00"
445,Copo Desc. 400ml,DESCARTAVEL,UN,20,5,0,6,"7,00","7,00",sem observacao,"0,00 %","42,00"
442,Copo Desc.150ml,DESCARTAVEL,UN,50,15,0,34,"5,00","5,00",sem observacao,"0,00 %","170,00"
730,Embalagem,DESCARTAVEL,UN,100,10,5,5,"1,00","1,00",Saldo Menor que o permitido!,"0,00 %","5,00"
446,Guardanapo,DESCARTAVEL,UN,100,30,13,17,"0,80","0,80",Saldo Menor que o permitido!,"0,00 %","13,60"
1061,Guardanapo 32x33,DESCARTAVEL,UN,100,10,0,15,"0,80","0,80",sem observacao,"0,00 %","12,00"
447,Mexedor (100),DESCARTAVEL,UN,20,1,0,30,"9,00","9,00",Saldo Excedendo o permitido!,"0,00 %","270,00"
1036,Mini Colher cristal,DESCARTAVEL,UN,10,2,0,2,"8,69","8,69",sem observacao,"0,00 %","17,38"
448,Palito- caixa(200),DESCARTAVEL,UN,0,10,0,10,"1,50","1,50",Saldo Excedendo o permitido!,"0,00 %","15,00"
449,Palito-embalado individual (100),DESCARTAVEL,UN,20,2,0,8,"1,40","1,40",sem observacao,"0,00 %","11,20"
Totais:,,,,,,,1557,,"2.325,43",,,
677,Papel manteiga 50X70,DESCARTAVEL,UN,800,20,0,650,"0,40","0,40",sem observacao,"0,00 %","260,00"
450,Prato PF12,DESCARTAVEL,UN,100,5,5,0,"2,00","2,00",Saldo Menor que o permitido!,"0,00 %","0,00"
451,Prato PF15,DESCARTAVEL,UN,150,10,0,122,"2,00","2,00",sem observacao,"0,00 %","244,00"
611,Prato PR15,DESCARTAVEL,UN,100,5,0,89,"2,00","2,00",sem observacao,"0,00 %","178,00"
452,Prato PR21,DESCARTAVEL,UN,100,12,12,0,"4,00","4,00",Saldo Menor que o permitido!,"0,00 %","0,00"
454,Ref. Faca Master,DESCARTAVEL,UN,30,3,0,11,"7,50","7,50",sem observacao,"0,00 %","82,50"
455,Ref. Garfo Master,DESCARTAVEL,UN,30,3,0,6,"7,50","7,50",sem observacao,"0,00 %","45,00"
453,Ref. colher,DESCARTAVEL,UN,20,1,0,3,"7,50","7,50",sem observacao,"0,00 %","22,50"
456,Rolo Filme,DESCARTAVEL,UN,2,1,1,0,"140,00","140,00",Saldo Menor que o permitido!,"0,00 %","0,00"
1035,Rolo Filme stretch com cabo,DESCARTAVEL,UN,2,1,0,7,"5,00","5,00",Saldo Excedendo o permitido!,"0,00 %","35,00"
Totais:,,,,,,,1557,,"2.325,43",,,
460,Rolo Saco (20x30),DESCARTAVEL,UN,6,2,0,4,"30,00","30,00",sem observacao,"0,00 %","120,00"
459,Rolo Saco (25x35),DESCARTAVEL,UN,2,1,1,0,"32,00","32,00",Saldo Menor que o permitido!,"0,00 %","0,00"
457,Rolo Saco (40x60),DESCARTAVEL,UN,5,1,0,1,"40,00","40,00",sem observacao,"0,00 %","40,00"
1031,Rolo de alumínio,DESCARTAVEL,UN,2,1,0,1,"14,95","14,95",sem observacao,"0,00 %","14,95"
461,Saco Talher,DESCARTAVEL,UN,50,2,0,6,"2,00","2,00",sem observacao,"0,00 %","12,00"
462,Sobremesa Colher,DESCARTAVEL,UN,10,2,0,11,"2,00","2,15",Saldo Excedendo o permitido!,"6,98 %","22,00"
463,Sobremesa Garfo,DESCARTAVEL,UN,20,1,0,32,"2,40","2,40",Saldo Excedendo o permitido!,"0,00 %","76,80"
1121,Sobremesa pote Desc. 100ml,DESCARTAVEL,UN,30,1,0,1,"5,00","5,00",sem observacao,"0,00 %","5,00"
1120,Sobremesa tampa Desc. 100ml,DESCARTAVEL,UN,50,1,0,1,"5,00","5,00",sem observacao,"0,00 %","5,00"
464,Tolca (10unid.),DESCARTAVEL,UN,120,5,5,0,"3,00","3,00",Saldo Menor que o permitido!,"0,00 %","0,00"
Totais:,,,,,,,1557,,"2.325,43",,,
,,,,,,,,Saldo,,Total
Totais:,,,,,,,,1557,,"2.325,43"
