Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
350,Bisnaga Chedar,GELADEIRA,UN,1,1,0,1,"20,00","20,00",sem observacao,"0,00 %","20,00"
351,Bisnaga Requeijão,GELADEIRA,UN,1,1,0,2,"17,00","17,00",Saldo Excedendo o permitido!,"0,00 %","34,00"
352,Fat. Mortadela- 200g,GELADEIRA,UN,20,6,0,72,"5,00","5,00",Saldo Excedendo o permitido!,"0,00 %","360,00"
353,Fat. mussarela - kg,GELADEIRA,UN,20,3,0,5.5,"57,00","57,00",sem observacao,"0,00 %","313,50"
354,Fat.Presunto- 200g,GELADEIRA,UN,20,15,0,50,"6,00","6,00",Saldo Excedendo o permitido!,"0,00 %","300,00"
356,Iogurte saco,GELADEIRA,UN,24,12,0,19,"3,90","3,90",sem observacao,"0,00 %","74,10"
1023,Manteiga 200g,GELADEIRA,UN,12,2,0,10,"5,70","5,70",sem observacao,"0,00 %","57,00"
360,Manteiguinha - (12),GELADEIRA,UN,20,5,0,8,"10,00","10,00",sem observacao,"0,00 %","80,00"
Totais:,,,,,,,175.5,,"1.284,20",,,
367,Requeijão,GELADEIRA,UN,12,4,0,8,"5,70","5,70",sem observacao,"0,00 %","45,60"
Totais:,,,,,,,175.5,,"1.284,20",,,
,,,,,,,,Saldo,,Total
Totais:,,,,,,,,175.5,,"1.284,20"
