Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
479,Alcool Acendedor 5L,LIMPEZA,UN,2,1,0,1,"55,00","55,00",sem observacao,"0,00 %","55,00"
656,Alcool Combustível 500ml,LIMPEZA,UN,0,0,0,6,"13,90","13,90",Saldo Excedendo o permitido!,"0,00 %","83,40"
480,Alcool líquido 70°-lt,LIMPEZA,UN,24,5,0,18,"5,40","5,40",sem observacao,"0,00 %","97,20"
684,Alvejante,LIMPEZA,UN,0,0,0,1,"10,00","10,00",Saldo Excedendo o permitido!,"0,00 %","10,00"
481,Amaciante 3L,LIMPEZA,UN,2,1,1,0,"60,00","60,00",Saldo Menor que o permitido!,"0,00 %","0,00"
483,Aromatizante Bom ar,LIMPEZA,UN,2,1,0,5,"13,00","13,00",Saldo Excedendo o permitido!,"0,00 %","65,00"
482,Aromatizante Coala,LIMPEZA,UN,12,1,0,6,"8,00","8,00",sem observacao,"0,00 %","48,00"
Totais:,,,,,,,1681,,"3.624,45",,,
484,Desinfetante - L,LIMPEZA,UN,20,12,0,80,"5,50","5,50",Saldo Excedendo o permitido!,"0,00 %","440,00"
485,Detergente - 500ml,LIMPEZA,UN,60,12,0,56,"1,50","1,50",sem observacao,"0,00 %","84,00"
496,Esponja de aço inox,LIMPEZA,UN,15,2,0,11,"5,50","5,50",sem observacao,"0,00 %","60,50"
486,Esponja dupla face,LIMPEZA,UN,100,8,0,66,"0,60","0,60",sem observacao,"0,00 %","39,60"
488,Hipoclorito(cloro)1L,LIMPEZA,UN,8,4,0,55,"4,00","4,00",Saldo Excedendo o permitido!,"0,00 %","220,00"
505,Inseticida,LIMPEZA,UN,6,1,0,5,"10,00","10,00",sem observacao,"0,00 %","50,00"
491,Lustra Móveis - Cremoso,LIMPEZA,UN,3,2,0,11,"5,00","5,00",Saldo Excedendo o permitido!,"0,00 %","55,00"
495,Lustra Móveis - Óleo,LIMPEZA,UN,3,2,0,15,"11,20","11,20",Saldo Excedendo o permitido!,"0,00 %","168,00"
492,Luva látex amarela M,LIMPEZA,UN,6,2,0,3,"5,20","5,20",sem observacao,"0,00 %","15,60"
1033,Luva látex verde G,LIMPEZA,UN,6,2,0,5,"5,20","5,20",sem observacao,"0,00 %","26,00"
493,Luva plástica,LIMPEZA,UN,75,0,0,61,"6,50","6,50",sem observacao,"0,00 %","396,50"
494,Naftalina,LIMPEZA,UN,60,8,7,1,"4,30","4,30",Saldo Menor que o permitido!,"0,00 %","4,30"
Totais:,,,,,,,1681,,"3.624,45",,,
497,Perfex,LIMPEZA,UN,1500,50,0,670,"0,22","0,22",sem observacao,"0,00 %","147,40"
