Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
972,ABANADOR CARINHA,DECORAÇÃO SÃO JOÃO,UN,0,0,0,2,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","12,00"
975,ARUPEMBA GRANDE,DECORAÇÃO SÃO JOÃO,UN,0,0,0,2,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","12,00"
954,BALÃO PAPEL,DECORAÇÃO SÃO JOÃO,UN,0,0,0,2,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","12,00"
953,BALÃO PLASTICO GG,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
952,BALÃO PLASTICO M BRASIL,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
951,BALÃO PLASTICO P,DECORAÇÃO SÃO JOÃO,UN,0,0,0,10,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","60,00"
Totais:,,,,,,,247,,"1.482,00",,,
950,BALÃO PLASTICO PP,DECORAÇÃO SÃO JOÃO,UN,0,0,0,6,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","36,00"
968,BALÃO TECIDO G,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
967,BALÃO TECIDO GG,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
961,BALÃO TECIDO M,DECORAÇÃO SÃO JOÃO,UN,0,0,0,7,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","42,00"
969,BALÃO TECIDO MEIO GG,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
959,BAMBOLE,DECORAÇÃO SÃO JOÃO,UN,0,0,0,20,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","120,00"
958,BANDEIRINHA PLASTICO NOVO,DECORAÇÃO SÃO JOÃO,UN,0,0,0,16,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","96,00"
966,BANDEJA SACHE,DECORAÇÃO SÃO JOÃO,UN,0,0,0,2,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","12,00"
Totais:,,,,,,,247,,"1.482,00",,,
970,BOLAIO/LUMINARIA,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
957,BONECO DE MESA,DECORAÇÃO SÃO JOÃO,UN,0,0,0,1,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","6,00"
965,CAMISA,DECORAÇÃO SÃO JOÃO,UN,0,0,0,18,"6,00","0,00",Saldo Excedendo o permitido!,"100,00 %","108,00"
