Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
1049,* Molheira,Utensilios Cozinha,UN,24,12,0,71,"5,00","5,00",Saldo Excedendo o permitido!,"0,00 %","355,00"
926,* Prato Almoço (12unid),Utensilios Cozinha,UN,10,2,0,4,"120,00","120,00",sem observacao,"0,00 %","480,00"
927,* Prato Sobremesa (12unid),Utensilios Cozinha,UN,10,2,0,12,"72,00","72,00",Saldo Excedendo o permitido!,"0,00 %","864,00"
618,* Taça Paulista (24unid),Utensilios Cozinha,UN,10,5,0,10,"120,00","120,00",sem observacao,"0,00 %","1.200,00"
1048,* Taça vinho (6 und),Utensilios Cozinha,UN,12,1,0,2,"90,00","90,00",sem observacao,"0,00 %","180,00"
536,* Xícara café,Utensilios Cozinha,UN,48,6,0,35,"14,00","14,00",sem observacao,"0,00 %","490,00"
528,AA Elet. Liquidificação,Utensilios Cozinha,UN,1,0,0,2,"150,00","150,00",Saldo Excedendo o permitido!,"0,00 %","300,00"
Totais:,,,,,,,426,,"6.185,20",,,
534,AA Elet. Sanduicheira,Utensilios Cozinha,UN,2,1,0,1,"80,00","80,00",sem observacao,"0,00 %","80,00"
628,Abridor coco,Utensilios Cozinha,UN,2,1,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
537,Abridor vinho,Utensilios Cozinha,UN,1,0,0,4,"13,00","13,00",Saldo Excedendo o permitido!,"0,00 %","52,00"
1006,Avental,Utensilios Cozinha,UN,30,2,0,7,"17,60","17,60",sem observacao,"0,00 %","123,20"
518,Borr panela 7lt,Utensilios Cozinha,UN,1,0,0,1,"5,00","5,00",sem observacao,"0,00 %","5,00"
519,Coador,Utensilios Cozinha,UN,4,1,0,1,"5,00","5,00",sem observacao,"0,00 %","5,00"
521,Coqueteleira,Utensilios Cozinha,UN,2,0,0,2,"105,00","105,00",sem observacao,"0,00 %","210,00"
522,Faca,Utensilios Cozinha,UN,1,1,0,1,"2,00","2,00",sem observacao,"0,00 %","2,00"
523,Frigideira,Utensilios Cozinha,UN,2,0,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
1138,Galheteiro,Utensilios Cozinha,UN,2,0,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
525,Garrafa café,Utensilios Cozinha,UN,3,1,0,3,"60,00","60,00",sem observacao,"0,00 %","180,00"
Totais:,,,,,,,426,,"6.185,20",,,
733,Garrafa caldinho,Utensilios Cozinha,UN,8,1,0,3,"40,00","40,00",sem observacao,"0,00 %","120,00"
526,Garrafa leite,Utensilios Cozinha,UN,1,1,1,0,"60,00","60,00",Saldo Menor que o permitido!,"0,00 %","0,00"
619,Jarra,Utensilios Cozinha,UN,9,1,0,2,"20,00","20,00",sem observacao,"0,00 %","40,00"
620,Jarrinha de vidro,Utensilios Cozinha,UN,3,1,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
529,Pano de prato,Utensilios Cozinha,UN,12,6,0,8,"2,00","2,00",sem observacao,"0,00 %","16,00"
420,Pano multiuso,Utensilios Cozinha,UN,13,1,1,0,"20,00","20,00",Saldo Menor que o permitido!,"0,00 %","0,00"
557,Peneira,Utensilios Cozinha,UN,1,1,0,1,"10,00","10,00",sem observacao,"0,00 %","10,00"
1132,Peneira inox,Utensilios Cozinha,UN,1,1,0,3,"10,00","10,00",Saldo Excedendo o permitido!,"0,00 %","30,00"
1047,Porta gelo,Utensilios Cozinha,UN,1,1,0,1,"45,00","45,00",sem observacao,"0,00 %","45,00"
531,Pote Papa,Utensilios Cozinha,UN,35,5,0,29,"5,00","5,00",sem observacao,"0,00 %","145,00"
924,Pote Tempero,Utensilios Cozinha,UN,35,1,0,18,"5,00","5,00",sem observacao,"0,00 %","90,00"
Totais:,,,,,,,426,,"6.185,20",,,
923,Pote vidro,Utensilios Cozinha,UN,35,1,0,3,"15,00","15,00",sem observacao,"0,00 %","45,00"
532,Ralo inox,Utensilios Cozinha,UN,10,0,0,3,"10,00","10,00",sem observacao,"0,00 %","30,00"
661,Suporte Refrigerante,Utensilios Cozinha,UN,4,1,0,4,"10,00","10,00",sem observacao,"0,00 %","40,00"
922,Talher Colher,Utensilios Cozinha,UN,30,6,0,6,"2,00","2,00",sem observacao,"0,00 %","12,00"
1131,Talher Espeto,Utensilios Cozinha,UN,30,6,0,43,"2,00","2,00",Saldo Excedendo o permitido!,"0,00 %","86,00"
524,Talher Garfo,Utensilios Cozinha,UN,30,6,0,90,"2,00","2,00",Saldo Excedendo o permitido!,"0,00 %","180,00"
1004,Travessa Inox,Utensilios Cozinha,UN,4,0,0,40,"10,00","10,00",Saldo Excedendo o permitido!,"0,00 %","400,00"
985,Travessa de Plástico,Utensilios Cozinha,UN,4,0,0,5,"35,00","35,00",Saldo Excedendo o permitido!,"0,00 %","175,00"
1113,Travessa pequena vidro,Utensilios Cozinha,UN,1,0,0,2,"20,00","20,00",Saldo Excedendo o permitido!,"0,00 %","40,00"
535,Travessa tampa,Utensilios Cozinha,UN,4,0,0,1,"35,00","35,00",sem observacao,"0,00 %","35,00"
Totais:,,,,,,,426,,"6.185,20",,,
,,,,,,,,Saldo,,Total
Totais:,,,,,,,,426,,"6.185,20"
