Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
299,* Acúcar - Kg,DISPENSA,UN,45,22,0,82,"4,00","4,00",Saldo Excedendo o permitido!,"0,00 %","328,00"
303,* Arroz,DISPENSA,UN,15,10,0,11,"6,00","6,00",sem observacao,"0,00 %","66,00"
311,* Café,DISPENSA,UN,35,14,0,30,"15,99","15,99",sem observacao,"0,00 %","479,70"
319,* F. Mandioca,DISPENSA,UN,10,2,0,4,"4,70","4,70",sem observacao,"0,00 %","18,80"
320,* F. Trigo c/ ferm,DISPENSA,UN,15,6,0,12,"5,35","5,35",sem observacao,"0,00 %","64,20"
321,* F. Trigo s/ ferm,DISPENSA,UN,15,6,0,9,"5,00","5,00",sem observacao,"0,00 %","45,00"
894,* Farinha de rosca 500g,DISPENSA,UN,15,3,0,6,"6,00","6,00",sem observacao,"0,00 %","36,00"
1062,* Farinha panko 500g,DISPENSA,UN,15,3,0,3,"16,99","16,99",sem observacao,"0,00 %","50,97"
323,* Feijão Carioca,DISPENSA,UN,20,0,0,5,"9,00","9,00",sem observacao,"0,00 %","45,00"
324,* Feijão Preto,DISPENSA,UN,10,3,0,12,"10,00","10,00",Saldo Excedendo o permitido!,"0,00 %","120,00"
Totais:,,,,,,,1007,,"5.994,60",,,
322,* Feijão de corda,DISPENSA,UN,10,4,0,12,"8,00","8,00",Saldo Excedendo o permitido!,"0,00 %","96,00"
325,* Flocão,DISPENSA,UN,60,24,0,99,"1,90","1,90",Saldo Excedendo o permitido!,"0,00 %","188,10"
334,* Macarrão - 400g,DISPENSA,UN,75,6,0,28,"2,90","2,90",sem observacao,"0,00 %","81,20"
346,* Sal - kg,DISPENSA,UN,15,3,0,5,"1,00","1,00",sem observacao,"0,00 %","5,00"
300,- Adoçante,DISPENSA,UN,3,1,0,3,"4,00","4,00",sem observacao,"0,00 %","12,00"
306,- Azeite - garrafa,DISPENSA,UN,1,1,0,1,"21,00","21,00",sem observacao,"0,00 %","21,00"
1040,- Azeitona balde,DISPENSA,UN,1,1,0,2,"50,00","50,00",Saldo Excedendo o permitido!,"0,00 %","100,00"
312,- Catchup,DISPENSA,UN,5,1,0,13,"6,00","6,00",Saldo Excedendo o permitido!,"0,00 %","78,00"
318,- Extrato Tomate - 340g,DISPENSA,UN,3,1,0,22,"3,00","3,00",Saldo Excedendo o permitido!,"0,00 %","66,00"
329,- M. Barbucue- 500ml,DISPENSA,UN,2,1,0,2,"7,00","7,00",sem observacao,"0,00 %","14,00"
331,- M. Inglês - 1lt,DISPENSA,UN,2,1,0,2,"10,00","10,00",sem observacao,"0,00 %","20,00"
337,- M. Mostarda - 500ml,DISPENSA,UN,2,1,0,2,"10,00","10,00",sem observacao,"0,00 %","20,00"
